Crop,Question,Answer
maize,what caterpillars are affecting maize in the garden?,They are fall army worms and stem borers
maize,How can I determine good yield seeds?,You can consult with the seed company for performance records
maize,what makes packed maize not to germinate?,Seed dormancy or poor storage of the seeds
maize,why is maize price so low?,This is because of a high production per season.
cassava,why are the leaves folding?,It's because of cassava mosaic virus (CMV)
cassava,why is the cassava watery and some rotten in the garden?,This is due to starch reduction or degradation
cassava,where can I get cassava stems for planting?,"From any certified seed company, or from fellow cassava farmers"
beans,what variety can I plant without spraying?,All improved varieties can grow without being sprayed but the yield will be lower
beans,why are the beans turning black in the garden?,"This can be due to diseases and pests e.g. bean anthracnose, aphids"
beans,where can I get a good market with good price?,Certified seed companies and urban traders offer better prices
cassava,how do I know that my cassava is rotting under the soil?,The leaves will start wilting and falling off
cassava,how can I easily protect cassava from animals?,By fencing the garden
cassava,why are cassava leaves yellow?,This can be an effect of cassava bacterial blight or cassava brown streak virus
cassava,why does the cassava take long to get ready when cooking?,This happens when the cassava root has a high water content due to starch reduction
beans,what affects beans in early stages?,Pests and diseases
beans,why are the beans growing short in the garden?,This can be caused by diseases e.g. bean common mosaic virus or even lack of nutrients 
beans,do I need to replace beans with another plant the next season?,"Not really, however it's good to repalce with one from a different family to avoid same pests and diseases"
maize,why are there weevils in my maize yet it didn't have before?,"Probably, there were weavil eggs that had not yet hatched"
maize,how can I treat maize for storing after harvesting?,You can mix the seeds with a storage chemical to prevent pests
maize,how can I control white caterpillars digging out the maize seed after planting?,You can carry out soil drenching with pesticides or dress the seeds before planting
cassava,why is the cassava so segmented?,This is a side effect of cassava brown streak virus
cassava,"what went wrong, why is there no cassava under the stem?",This is due to cassava brown streak virus
cassava,why do some parts of the stem dry when planted in the ground?,The are eaten by termites
beans,how do this white caterpillars get in the garden?,The adult stage of the pest (butterflies) lay eggs which grow into larvae (caterpillars)
beans,how can I control the white caterpillars?,By spraying with chemicals (pesticides)
beans,what is causing cob webs around the leaves of beans?,Alot of rain causes web blight
cassava,does rain with stones affect cassava?,"Yes, it removes the leaves from the cassava plants and causes cassava roots to become bitter"
maize,why do some farmers use parafin to plant maize?,To scare away pests
maize,what is putting holes on the maize leaves?,Fall army worm or stem borers
maize,why is maize rotting on the cob?,This is an effect of maize streak disease
cassava,can cassava disease be carried through a stem?,"Yes, diseased stems are transported with the virus"
cassava,what causes low yields in cassava?,Pests and diseases
cassava,what makes the cassava cover turn black?,It is the sooty moulds
cassava,how many times can I harvest cassava in a year?,"Once, because cassava takes a whole year to mature"
beans,which soil type is good for beans?,Loam soil
beans,why are the leaves drying up?,This can be due to root rots
beans,how can I control caterpillars during the flowering stage?,By spraying with pesticides
beans,why are there houseflies in my beans garden?,This can be caused by beans rotting in the garden
maize,what is eating the inner part of the maize stem?,Fall armyworm or stem borers
maize,how can I store maize properly after harvesting?,Dry them well and keep them in silos or carryout seed dressing
maize,how can I get market for maize?,Consult the maize millers
cassava,what stem is good for planting in this region?,Narocas1
cassava,why do I get low yields with cassava?,Diseases can lower down the yield 
cassava,how should I weed a cassava garden?,Use a garden hoe to remove weeds while bringing the soil to cover well the root area
cassava,what makes the cassava watery?,The reduction in the starch content
maize,how often should I spray maize?,Use a two weeks interval after germination
maize,how many seeds should I put in a hole?,Preferrebly two seeds
maize,can I hearvest maize when it has just started drying?,"No, let all the maize first dry "
beans,when should I do my first weeding?,Weeding should be done three weeks after planting
beans,how can I prepare my garden for planting?,Make a fine seed bed for planting beans
beans,what diseases affect beans?,"Root rots, bean anthracnose, BCMV, halo blight, bean rust, black rot, etc "
